Type,num_part,num_dim,steps,warmup,alpha,energy,kin_en,pot_en,acceptance_rate,time
MonteCarlo,10,3,10000,100000,0.5,15,7.483568889,7.516431111,0.9867,113
MonteCarlo,10,3,10000,100000,0.85,15.65215004,10.44164741,5.210502625,0.9279,47
MonteCarlo,10,3,262144,100000,0.4975,24.39821611,12.1585279,12.23968822,0.962097168,6564
MonteCarlo,10,3,262144,100000,0.4975,24.39819988,12.11972101,12.27847887,0.9621620178,6529
MonteCarlo,10,3,262144,100000,0.4975,24.39911993,12.20812697,12.19099297,0.9617767334,6559
MonteCarlo,10,3,262144,100000,0.4975,24.39763948,12.17748221,12.22015727,0.9619674683,6564
MonteCarlo,10,3,262144,100000,0.4975,24.39821611,12.1585279,12.23968822,0.962097168,6746
